date,quarter_period,total_gdp_deflator,real_gdp_index,nominal_gdp_index,unemployment_rate,avg_annual_unemployment_rate,yoy_change_perc,real_gdp_index_sa,src_quarter,cpi_index,inflation_index,core_inflation_index,        Deflators of gross domestic product by final use categories,industrial_production_index,ppi_index,ppi_mom_growth,ppi_yoy_growth,inflation_index_seasonally_adjusted,_merge
2021-01-01,2021Q1,121.5,148.89,180.9,6.8,8.4,-32.67326733,147.63343749999999,1,308.7,101.2,100.8,104.66666666666667,104.66666666666667,102.66666666666667,-0.009350700437570933,0.011788612620468533,100.72222222222224,both
2021-04-01,2021Q2,126.5,150.38,190.22,7.9,8.4,-15.05376344,152.36290178571429,1,317.46666666666664,100.73333333333333,100.60000000000001,97.8,97.8,102.86666666666667,0.004695176145583666,0.03635461030268117,100.72222222222224,both
2021-07-01,2021Q3,125.4,151.88,190.46,8.3,8.4,-5.681818182,151.07799107142856,1,322.23333333333335,100.23333333333333,100.23333333333333,100.0,100.0,102.93333333333334,-0.010880648783701366,0.009770351017286733,100.72222222222224,both
2022-01-01,2022Q1,115.54,185.44,182.9,9.5,8.45,39.70588235,184.1834375,1,382.73333333333335,102.96666666666665,102.0,106.56666666666666,106.56666666666666,102.43333333333334,0.0090304839804192,-0.0041280266403622,101.97499999999998,both
2022-04-01,2022Q2,131.81,153.18,172.36,6.4,8.45,-18.98734177,155.1629017857143,1,400.9333333333334,101.23333333333333,101.89999999999999,101.60000000000001,101.60000000000001,104.96666666666665,0.011570099956490235,-0.009742567087663835,101.97499999999998,both
2022-07-01,2022Q3,134.46,204.89,243.24,9.5,8.45,14.45783133,204.08799107142855,1,414.45,101.6,101.6,102.15,102.15,102.19999999999999,-0.013754408374701651,-0.012493920148325,101.975,both
2023-01-01,2023Q1,119.18,204.89,228.69,8.0,9.7,-15.78947368,203.63343749999999,1,423.26666666666665,100.73333333333333,100.66666666666667,98.60000000000001,98.60000000000001,100.10000000000001,-0.014168161097016567,-0.022334141962391436,100.3181818181818,both
2023-04-01,2023Q2,116.45,204.89,245.71,9.9,9.7,54.6875,206.87290178571428,1,432.90000000000003,100.5,100.23333333333333,98.86666666666667,98.86666666666667,101.60000000000001,0.017655286360412203,-0.008144051177313533,100.3181818181818,both
2023-07-01,2023Q3,111.66,204.89,254.40125000000003,10.5,9.7,10.52631579,204.08799107142855,1,428.8333333333333,99.5,100.3,100.93333333333334,100.93333333333334,104.10000000000001,-0.0014895685228014665,-0.0081743466873067,100.3181818181818,both
2023-10-01,2023Q4,126.75,204.89,254.40125000000003,10.4,9.7,23.80952381,204.96566964285714,1,435.5,100.65,100.35,104.85,104.85,100.0,-0.02205987852121085,-0.02151112081288055,100.3181818181818,both
2024-01-01,2024Q1,111.24,204.89,254.40125000000003,10.99,10.337500000000002,28.01949494,203.63343749999999,1,445.76666666666665,100.36666666666667,100.36666666666667,96.96666666666665,96.96666666666665,99.0,-0.022547589473803,-0.030073178543124565,100.98571428571428,both
2024-04-01,2024Q2,111.12,204.89,254.40125000000003,11.59,10.337500000000002,24.02444393,206.87290178571428,1,473.8,101.3,101.23333333333333,104.5,104.5,101.36666666666667,-0.017137216553598632,-0.018553547103258735,100.98571428571428,both
2024-07-01,2024Q3,107.15,204.89,254.40125000000003,10.47,10.337500000000002,27.48393993,204.08799107142855,1,489.4,101.9,101.2,97.9,97.9,101.3,0.0019782393669633,0.0284263959390862,100.98571428571428,both
