,0
num__nominal_gdp_index_mean4,0.0008013299228746633
num__unemployment_rate_yoy,0.0007880751681939879
num__ppi_index_qoq,0.0007775627577660346
num__yoy_change_perc_mean4,0.000775089621191988
num__industrial_production_index_mean12,0.0007556946800347999
num__yoy_change_perc_lag6,0.0007503675655834578
num__nominal_gdp_index_lag3,0.0007415493558471274
num__ppi_index,0.0007231026249472765
num__year_std12,0.0007179003924910357
num__industrial_production_index_lag3,0.0007096971242354026
num__yoy_change_perc,0.0007012936453749749
num__deflators_of_gross_domestic_product_by_final_use_categories_qoq,0.0006952382487534153
num__cpi_index_mean4,0.000691523976307273
num__ppi_index_lag3,0.0006632747228962851
num__ppi_yoy_growth_lag3,0.0006564209166264143
num__industrial_production_index_lag8,0.000643773381561501
num__year_lag1,0.0006435277926812814
num__core_inflation_index_lag4,0.0006415873447015045
num__sin_q_lag8,0.0006141305884838279
num__year_mean8,0.00060406205262802
num__real_gdp_index_yoy,0.0005936579170551663
num__ppi_yoy_growth_lag6,0.0005874437679341199
num__cpi_index_std8,0.0005761329041844587
num__inflation_index_seasonally_adjusted_yoy,0.0005704146760679553
num__quarter_std12,0.0005602520211037979
num__real_gdp_index_lag3,0.0005541104752846455
num__inflation_index_seasonally_adjusted_std12,0.0005228781666876567
num__year_mean12,0.0005210592239902035
num__yoy_change_perc_std8,0.0005095525711764603
num__nominal_gdp_index_std4,0.0005049350673694048
num__deflators_of_gross_domestic_product_by_final_use_categories_lag4,0.000501884597617508
num__real_gdp_index_mean4,0.0005000171551715063
num__ppi_index_yoy,0.0004966616186637849
num__unemployment_rate_mean12,0.0004832736733550012
num__sin_q,0.00047288294863431297
num__deflators_of_gross_domestic_product_by_final_use_categories_yoy,0.0004714819237621047
num__nominal_gdp_index_lag2,0.0004713013619417445
num__unemployment_rate_std4,0.00046608290582038006
num__ppi_mom_growth_qoq,0.0004645175678556596
num__ppi_index_mean12,0.00045587747814633555
num__nominal_gdp_index_yoy,0.00045492797718838266
num__year_lag6,0.00041255582981283867
num__ppi_index_lag6,0.00039842193862679444
num__inflation_index_mean12,0.0003856147917607269
num__cpi_index_lag8,0.00038538330135467027
num__quarter_std8,0.0003852139150911181
num__deflators_of_gross_domestic_product_by_final_use_categories_mean4,0.00038386222479772374
num__quarter_lag4,0.000383267132408363
num__avg_annual_unemployment_rate_lag8,0.0003823524259152994
num__quarter_lag6,0.0003797567559571576
num__inflation_index_seasonally_adjusted_mean8,0.00037924234670627606
num__nominal_gdp_index_lag6,0.0003761256655864612
num__ppi_yoy_growth_lag2,0.0003737002011471046
num__unemployment_rate_lag6,0.000369202051479809
num__inflation_index_seasonally_adjusted_mean12,0.0003645059057699177
num__real_gdp_index,0.00035580110099444587
num__total_gdp_deflator_std8,0.0003535497679647253
num__nominal_gdp_index_lag1,0.00035220482186574387
num__deflators_of_gross_domestic_product_by_final_use_categories_mean12,0.0003434296519102551
num__ppi_mom_growth,0.0003402947103209279
num__total_gdp_deflator_lag1,0.0003368801417939293
num__total_gdp_deflator_lag8,0.00032552739975223824
num__real_gdp_index_sa_lag2,0.0003251242171710881
num__real_gdp_index_sa_lag3,0.0003182397957506047
num__ppi_inf_qoq_inter,0.0003167085096412422
num__nominal_gdp_index_mean8,0.0003103940544718076
num__core_inflation_index_mean4,0.000301521132108614
num__real_gdp_index_std8,0.00029423983154855767
num__industrial_production_index_mean4,0.00028864446892624013
num__nominal_gdp_index_qoq,0.0002881224206778225
num__real_gdp_index_sa_std4,0.00028590742994273594
num__avg_annual_unemployment_rate_yoy,0.0002756387873113495
num__yoy_change_perc_std12,0.00027529670598714804
num__inflation_gap,0.00026887581110462104
num__cos_q_qoq,0.00025778371801798836
num__industrial_production_index,0.00024926340457797903
num__inflation_index_mean4,0.0002467302662412483
num__real_gdp_index_sa_yoy,0.00023869811489487692
num__cpi_index_qoq,0.0002364310653738438
num__real_gdp_index_sa_mean4,0.00023497897747735313
num__total_gdp_deflator_lag3,0.0002327618771004318
num__real_gdp_index_sa_lag8,0.00023196327913926882
num__ppi_index_mean8,0.00023000816295853534
num__unemployment_rate,0.00021105222502244784
num__real_gdp_index_sa_lag4,0.0002064545929249739
num__avg_annual_unemployment_rate_lag6,0.00020277917707469908
num__year_lag4,0.0001946638259134496
num__cpi_index_lag1,0.00019411473005200968
num__core_inflation_index_lag6,0.00018583509837651413
num__cpi_index,0.0001814310759800505
num__industrial_production_index_yoy,0.00017404769946581611
num__year,0.0001726659513778515
num__real_gdp_index_lag2,0.00017205222724855416
num__avg_annual_unemployment_rate_lag4,0.00017122536900800135
num__deflators_of_gross_domestic_product_by_final_use_categories,0.0001692747932308407
num__nominal_gdp_index_std12,0.0001671747950222659
num__real_gdp_index_sa_mean8,0.00016699473130428995
num__year_lag8,0.00016393347164048123
num__ppi_mom_growth_std12,0.00016293913879018753
num__real_gdp_index_sa_mean12,0.0001621193725092008
num__quarter_lag2,0.000155800114468252
num__avg_annual_unemployment_rate_std8,0.00015362661046825095
num__real_gdp_index_lag1,0.0001522393393199259
num__sin_q_qoq,0.00015195063665812008
num__nominal_gdp_index_mean12,0.000151294475157305
num__cos_q_lag2,0.00014613815565168021
num__cos_q_mean8,0.00013491798954017075
num__sin_q_std4,0.00013100586749924018
num__total_gdp_deflator_mean4,0.00012705242794019438
num__cpi_index_yoy,0.00012411498901201626
num__year_std8,0.00012218839418546657
num__sin_q_lag6,0.00011901493277322697
num__sin_q_lag2,0.00011819015752928204
num__cpi_index_lag2,0.0001086789544397157
num__inflation_index_seasonally_adjusted_lag4,0.00010394625843378713
num__deflators_of_gross_domestic_product_by_final_use_categories_lag3,9.930481700384225e-05
num__cos_q_lag6,9.59891627177602e-05
num__avg_annual_unemployment_rate,9.251977176766082e-05
num__year_mean4,9.228300610171638e-05
num__inflation_index_seasonally_adjusted,8.665895173161154e-05
num__cos_q,8.621248546303806e-05
