,0
num__unemployment_rate_yoy,0.0072735389694571495
num__real_gdp_index_sa_std4,0.006918880622833967
num__real_gdp_index_sa_yoy,0.0055777267552912235
num__deflators_of_gross_domestic_product_by_final_use_categories_qoq,0.00465172715485096
num__inflation_index_yoy,0.004224286414682865
num__industrial_production_index_std8,0.003821343183517456
num__yoy_change_perc_mean8,0.0034055612049996853
num__industrial_production_index_lag4,0.00269028777256608
num__inflation_index_seasonally_adjusted_lag1,0.00213098106905818
num__yoy_change_perc_std8,0.0019047710811719298
num__ppi_inf_qoq_inter,0.0013802386820316315
num__industrial_production_index,0.0010108336573466659
num__real_gdp_index_lag1,0.0008352547883987427
num__inflation_index_seasonally_adjusted,0.0002173110842704773
num__quarter_lag4,0.000195167405763641
num__src_quarter_mean4,0.0
num__year_mean8,0.0
num__quarter_qoq,0.0
num__cos_q_std8,0.0
num__real_gdp_index_lag2,0.0
num__quarter_lag2,0.0
num__sin_q_qoq,0.0
num__src_quarter_qoq,0.0
num__inflation_index_seasonally_adjusted_qoq,0.0
num__src_quarter_mean8,0.0
num__real_gdp_index_sa_mean8,0.0
num__real_gdp_index_mean8,0.0
num__quarter_mean8,0.0
num__ppi_index_qoq,0.0
num__sin_q_lag2,0.0
num__year_qoq,0.0
num__src_quarter_lag2,0.0
num__nominal_gdp_index_std8,0.0
num__avg_annual_unemployment_rate_qoq,0.0
num__src_quarter,0.0
num__year_lag2,0.0
num__year_lag4,0.0
num__src_quarter_lag4,0.0
num__real_gdp_index_lag4,0.0
num__sin_q_std8,0.0
num__src_quarter_std8,0.0
num__total_gdp_deflator_std8,0.0
num__cos_q_lag4,0.0
num__cpi_index_lag4,0.0
num__unemployment_rate_qoq,0.0
num__ppi_index_mean8,0.0
num__year_mean4,0.0
num__cos_q_yoy,0.0
num__real_gdp_index_sa_lag1,0.0
num__quarter_lag1,0.0
num__cos_q_std4,0.0
num__cpi_index_std4,0.0
num__ppi_mom_growth_lag1,0.0
num__sin_q_mean4,0.0
num__nominal_gdp_index_lag4,0.0
num__real_gdp_index_mean4,0.0
num__quarter_mean4,0.0
num__sin_q_lag1,0.0
num__src_quarter_lag1,0.0
num__industrial_production_index_mean4,0.0
num__quarter_std4,0.0
num__deflators_of_gross_domestic_product_by_final_use_categories_mean4,0.0
num__year_yoy,0.0
num__sin_q_std4,0.0
num__src_quarter_std4,0.0
num__total_gdp_deflator_yoy,0.0
num__src_quarter_yoy,0.0
num__year_std4,0.0
num__sin_q_yoy,0.0
num__quarter_yoy,0.0
num__inflation_index_seasonally_adjusted_yoy,0.0
num__industrial_production_index_yoy,0.0
num__cpi_index_mean8,0.0
num__year,0.0
num__deflators_of_gross_domestic_product_by_final_use_categories_yoy,0.0
num__inflation_index_mean8,0.0
num__cpi_index_yoy,0.0
num__real_gdp_index_sa_mean4,0.0
